Index;SongName;Artist;Genre;Popularity;Danceability;Energy;Valence;Var9;Var10
1123;Callaita;Bad Bunny, Tainy;['latin', 'reggaeton', 'trap latino'];81;0.61;0.624;0.244;1;0
1124;Solitaires (feat. Travis Scott);Future;['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];67;0.691;0.632;0.488;1;0
1125;XO Tour Llif3;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];82;0.732;0.75;0.401;1;0
1126;changes;XXXTENTACION;['emo rap', 'miami hip hop'];81;0.669;0.308;0.52;1;0
1127;Suicidal (Remix) [feat. Juice WRLD];YNW Melly;['melodic rap', 'trap'];76;0.655;0.441;0.273;1;0
1128;Level of Concern;Twenty One Pilots;['modern rock', 'rock'];72;0.754;0.583;0.77;2;0
1129;Alice;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];64;0.723;0.88;0.323;1;0
1130;Free Woman;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];63;0.731;0.927;0.478;2;0
1131;Fun Tonight;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];58;0.645;0.923;0.323;1;0
1132;Sine From Above (with Elton John);Lady Gaga;['dance pop', 'pop', 'post-teen pop'];60;0.642;0.792;0.903;2;0
1133;Enigma;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];59;0.669;0.804;0.184;1;0
1134;Replay;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];63;0.658;0.878;0.683;2;0
1135;Plastic Doll;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];58;0.743;0.853;0.422;1;0
1136;Chromatica II;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];58;0.184;0.297;0.113;1;0
1137;Babylon;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];61;0.698;0.799;0.351;1;0
1138;Chromatica I;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];58;0.184;0.297;0.113;1;0
1139;1000 Doves;Lady Gaga;['dance pop', 'pop', 'post-teen pop'];58;0.668;0.826;0.388;1;0
1140;Broken Glass;Kygo, Kim Petras;['edm', 'pop', 'pop dance', 'tropical house'];66;0.526;0.633;0.272;1;0
1142;FLY;KC Rebell, Summer Cem;['german drill', 'german hip hop'];59;0.835;0.596;0.897;2;0
1143;SKRR;KALIM, Ufo361;['german hip hop', 'german trap', 'german underground rap', 'hamburg hip hop'];60;0.803;0.649;0.584;2;0
1144;T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator);Lil Yachty;['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap'];66;0.784;0.632;0.746;2;0
1145;Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake);Lil Yachty;['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap'];69;0.836;0.617;0.866;2;0
1146;Roadrunner;Bonez MC;['german hip hop', 'hamburg hip hop'];64;0.804;0.606;0.247;1;0
1147;Freedom;Kygo, Zak Abel;['edm', 'pop', 'pop dance', 'tropical house'];72;0.715;0.635;0.39;1;0
1148;Fame;Apache 207;['german hip hop'];62;0.811;0.645;0.474;1;0
1149;Daechwita;Agust D;['k-rap'];77;0.65;0.827;0.223;1;0
1150;COOLER THAN A BITCH (feat. Roddy Ricch);Gunna;['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap'];67;0.837;0.586;0.618;2;0
1151;In Your Eyes (with Doja Cat) - Remix;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];67;0.679;0.731;0.727;2;0
1152;WUNNA;Gunna;['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap'];60;0.89;0.455;0.313;1;0
1153;Komm Komm;Capital Bra;['german hip hop'];53;0.485;0.793;0.371;1;0
1154;TOP FLOOR (feat. Travis Scott);Gunna;['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap'];63;0.823;0.504;0.481;1;0
1156;CANCIÓN CON YANDEL;Yandel, Bad Bunny;['latin', 'reggaeton', 'trap latino'];76;0.75;0.741;0.495;2;0
1157;X (with KAROL G);Jonas Brothers;['boy band', 'dance pop', 'pop', 'post-teen pop'];70;0.715;0.827;0.75;2;0
1158;MÁS DE UNA CITA;Bad Bunny, Zion & Lennox;['latin', 'reggaeton', 'trap latino'];67;0.865;0.5;0.317;1;0
1159;Together;Sia;['australian dance', 'australian pop', 'dance pop', 'pop'];71;0.521;0.877;0.199;1;0
1160;eight(Prod.&Feat. SUGA of BTS);IU;['k-pop'];75;0.676;0.869;0.594;2;0
1161;You should be sad;Halsey;['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop'];76;0.591;0.585;0.324;1;0
1162;CITY OF ANGELS;24kGoldn;['cali rap'];76;0.686;0.541;0.724;2;0
1163;Astronomia;Vicetone, Tony Igy;['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house'];71;0.653;0.945;0.326;1;0
1164;After Hours;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];75;0.664;0.572;0.143;1;0
1165;BUTTERFLY EFFECT;Travis Scott;['rap', 'slap house'];79;0.763;0.628;0.193;1;0
1167;Sigues Con El - Remix;Arcangel, Sech, Romeo Santos;['latin', 'latin hip hop', 'reggaeton', 'trap latino'];69;0.747;0.693;0.736;2;0
1169;Confía;Sech, Daddy Yankee;['latin', 'panamanian pop', 'reggaeton', 'trap latino'];62;0.722;0.757;0.763;2;0
1170;Muévelo;Nicky Jam, Daddy Yankee;['latin', 'latin hip hop', 'reggaeton', 'trap latino'];72;0.594;0.808;0.919;2;0
1171;All Bad (feat. Lil Uzi Vert);Future;['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];60;0.931;0.667;0.667;2;0
1173;Trillionaire (feat. Youngboy Never Broke Again);Future;['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];61;0.768;0.526;0.473;1;0
1174;Go Stupid;Polo G, Stunna 4 Vegas, NLE Choppa, Mike WiLL Made-It;['chicago rap'];74;0.92;0.833;0.645;2;0
1175;A Gente Fez Amor - Ao Vivo;Gusttavo Lima;['sertanejo', 'sertanejo universitario'];66;0.794;0.937;0.826;2;0
1176;Racks 2 Skinny;Migos;['atl hip hop', 'pop rap', 'rap', 'trap'];61;0.814;0.584;0.405;1;0
1178;BENDICIONES;Bad Bunny;['latin', 'reggaeton', 'trap latino'];67;0.828;0.581;0.843;2;0
1179;PTSD;G Herbo, Juice WRLD, Lil Uzi Vert, Chance the Rapper;['chicago drill', 'chicago rap', 'drill', 'rap', 'southern hip hop', 'trap'];76;0.883;0.808;0.806;2;0
1180;Excitement;Trippie Redd, PARTYNEXTDOOR;['melodic rap', 'rap', 'trap'];69;0.443;0.536;0.391;1;0
1181;Can We Kiss Forever?;Kina, Adriana Proenza;['sad rap'];78;0.522;0.128;0.124;1;0
1182;SI ELLA SALE;Bad Bunny;['latin', 'reggaeton', 'trap latino'];63;0.869;0.727;0.92;2;0
1183;RONCA FREESTYLE;Bad Bunny;['latin', 'reggaeton', 'trap latino'];64;0.856;0.656;0.586;2;0
1184;Zoo York (feat. Fivio Foreign & Pop Smoke);Lil Tjay;['brooklyn drill', 'melodic rap', 'nyc rap'];70;0.565;0.569;0.303;1;0
1185;EN CASITA;Bad Bunny, Gabriela;['latin', 'reggaeton', 'trap latino'];62;0.779;0.764;0.675;2;0
